"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.62343e+004,-3.32300e+002,7.99412e-001,2.57603e-001,1.29140e+001,6.58415e+000,1.75703e+000,1,3.60000e+002,-1.64000e+003,0.00000e+000,0.00000e+000
-8.62307e+004,-3.32314e+002,8.03386e-001,2.58009e-001,1.28962e+001,6.56770e+000,1.75838e+000,1,3.64000e+002,-1.63600e+003,0.00000e+000,0.00000e+000
-8.62271e+004,-3.32329e+002,8.07360e-001,2.58415e-001,1.28783e+001,6.55125e+000,1.75973e+000,1,3.68000e+002,-1.63200e+003,0.00000e+000,0.00000e+000
-8.62235e+004,-3.32344e+002,8.11334e-001,2.58821e-001,1.28605e+001,6.53480e+000,1.76108e+000,1,3.72000e+002,-1.62800e+003,0.00000e+000,0.00000e+000
-8.62199e+004,-3.32359e+002,8.15309e-001,2.59228e-001,1.28427e+001,6.51836e+000,1.76244e+000,1,3.76000e+002,-1.62400e+003,0.00000e+000,0.00000e+000
-8.62163e+004,-3.32373e+002,8.19283e-001,2.59634e-001,1.28249e+001,6.50191e+000,1.76379e+000,1,3.80000e+002,-1.62000e+003,0.00000e+000,0.00000e+000
-8.62127e+004,-3.32388e+002,8.23257e-001,2.60040e-001,1.28071e+001,6.48546e+000,1.76514e+000,1,3.84000e+002,-1.61600e+003,0.00000e+000,0.00000e+000
-8.62091e+004,-3.32403e+002,8.27231e-001,2.60446e-001,1.27893e+001,6.46901e+000,1.76649e+000,1,3.88000e+002,-1.61200e+003,0.00000e+000,0.00000e+000
-8.62055e+004,-3.32417e+002,8.31205e-001,2.60852e-001,1.27714e+001,6.45256e+000,1.76784e+000,1,3.92000e+002,-1.60800e+003,0.00000e+000,0.00000e+000
-8.62019e+004,-3.32432e+002,8.35180e-001,2.61258e-001,1.27536e+001,6.43612e+000,1.76919e+000,1,3.96000e+002,-1.60400e+003,0.00000e+000,0.00000e+000
-8.61983e+004,-3.32447e+002,8.39154e-001,2.61665e-001,1.27358e+001,6.41967e+000,1.77054e+000,1,4.00000e+002,-1.60000e+003,0.00000e+000,0.00000e+000
-8.61965e+004,-3.32435e+002,8.40170e-001,2.39636e-001,1.27105e+001,6.40134e+000,1.77145e+000,1,4.04000e+002,-1.59600e+003,0.00000e+000,0.00000e+000
-8.61947e+004,-3.32423e+002,8.41186e-001,2.17607e-001,1.26853e+001,6.38301e+000,1.77236e+000,1,4.08000e+002,-1.59200e+003,0.00000e+000,0.00000e+000
-8.61929e+004,-3.32411e+002,8.42202e-001,1.95578e-001,1.26600e+001,6.36468e+000,1.77327e+000,1,4.12000e+002,-1.58800e+003,0.00000e+000,0.00000e+000
-8.61910e+004,-3.32399e+002,8.43218e-001,1.73549e-001,1.26347e+001,6.34635e+000,1.77418e+000,1,4.16000e+002,-1.58400e+003,0.00000e+000,0.00000e+000
